asset_id,month_index,asset_type,dept,section_id,line_type,age_years,days_since_maintenance,maintenance_interval_days,overdue_ratio,annual_gmt,criticality,failures_to_date,months_since_last_defect,season,is_monsoon,defect_within_30d,drainage_quality,formation_condition,true_hazard
TRA00001,0,track_segment,ENG,MAIN01,double,22.7,60,180,0.333,58.2,3,1,8,winter,0,0,0.923,0.888,0.0322
TRA00001,1,track_segment,ENG,MAIN01,double,22.78,90,180,0.5,58.2,3,1,9,winter,0,0,0.923,0.888,0.0728
TRA00001,2,track_segment,ENG,MAIN01,double,22.87,120,180,0.667,58.2,3,1,10,winter,0,1,0.923,0.888,0.1269
TRA00001,3,track_segment,ENG,MAIN01,double,22.95,10,180,0.056,58.2,3,2,0,summer,0,0,0.923,0.888,0.0009
TRA00001,4,track_segment,ENG,MAIN01,double,23.03,40,180,0.222,58.2,3,2,1,summer,0,0,0.923,0.888,0.0156
TRA00001,5,track_segment,ENG,MAIN01,double,23.12,70,180,0.389,58.2,3,2,2,summer,1,0,0.923,0.888,0.0731
TRA00001,6,track_segment,ENG,MAIN01,double,23.2,100,180,0.556,58.2,3,2,3,monsoon,1,0,0.923,0.888,0.1486
TRA00001,7,track_segment,ENG,MAIN01,double,23.28,130,180,0.722,58.2,3,2,4,monsoon,1,0,0.923,0.888,0.2442
TRA00001,8,track_segment,ENG,MAIN01,double,23.37,160,180,0.889,58.2,3,2,5,monsoon,1,0,0.923,0.888,0.3528
TRA00001,9,track_segment,ENG,MAIN01,double,23.45,190,180,1.056,58.2,3,2,6,post_monsoon,0,1,0.923,0.888,0.3147
TRA00001,10,track_segment,ENG,MAIN01,double,23.53,16,180,0.089,58.2,3,3,0,post_monsoon,0,0,0.923,0.888,0.0026
TRA00001,11,track_segment,ENG,MAIN01,double,23.62,46,180,0.256,58.2,3,3,1,post_monsoon,0,0,0.923,0.888,0.0231
TRA00001,12,track_segment,ENG,MAIN01,double,23.7,76,180,0.422,58.2,3,3,2,winter,0,0,0.923,0.888,0.0646
TRA00001,13,track_segment,ENG,MAIN01,double,23.78,106,180,0.589,58.2,3,3,3,winter,0,0,0.923,0.888,0.1246
TRA00001,14,track_segment,ENG,MAIN01,double,23.87,136,180,0.756,58.2,3,3,4,winter,0,0,0.923,0.888,0.1986
TRA00001,15,track_segment,ENG,MAIN01,double,23.95,166,180,0.922,58.2,3,3,5,summer,0,0,0.923,0.888,0.2812
TRA00001,16,track_segment,ENG,MAIN01,double,24.03,196,180,1.089,58.2,3,3,6,summer,0,0,0.923,0.888,0.3663
TRA00001,17,track_segment,ENG,MAIN01,double,24.12,226,180,1.256,58.2,3,3,7,summer,1,0,0.923,0.888,0.6646
TRA00001,18,track_segment,ENG,MAIN01,double,24.2,20,180,0.111,58.2,3,3,8,monsoon,1,0,0.923,0.888,0.0061
TRA00001,19,track_segment,ENG,MAIN01,double,24.28,50,180,0.278,58.2,3,3,9,monsoon,1,0,0.923,0.888,0.041
TRA00001,20,track_segment,ENG,MAIN01,double,24.37,80,180,0.444,58.2,3,3,10,monsoon,1,0,0.923,0.888,0.1069
TRA00001,21,track_segment,ENG,MAIN01,double,24.45,110,180,0.611,58.2,3,3,11,post_monsoon,0,0,0.923,0.888,0.1347
TRA00001,22,track_segment,ENG,MAIN01,double,24.53,140,180,0.778,58.2,3,3,12,post_monsoon,0,0,0.923,0.888,0.2108
TRA00001,23,track_segment,ENG,MAIN01,double,24.62,170,180,0.944,58.2,3,3,13,post_monsoon,0,0,0.923,0.888,0.2946
TRA00002,0,track_segment,ENG,MAIN01,double,30.8,250,180,1.389,58.2,2,3,6,winter,0,0,0.66,0.904,0.559
TRA00002,1,track_segment,ENG,MAIN01,double,30.88,280,180,1.556,58.2,2,3,7,winter,0,1,0.66,0.904,0.6329
TRA00002,2,track_segment,ENG,MAIN01,double,30.97,9,180,0.05,58.2,2,4,0,winter,0,0,0.66,0.904,0.0009
TRA00002,3,track_segment,ENG,MAIN01,double,31.05,39,180,0.217,58.2,2,4,1,summer,0,0,0.66,0.904,0.0199
TRA00002,4,track_segment,ENG,MAIN01,double,31.13,69,180,0.383,58.2,2,4,2,summer,0,0,0.66,0.904,0.0644
TRA00002,5,track_segment,ENG,MAIN01,double,31.22,99,180,0.55,58.2,2,4,3,summer,1,0,0.66,0.904,0.2083
TRA00002,6,track_segment,ENG,MAIN01,double,31.3,129,180,0.717,58.2,2,4,4,monsoon,1,1,0.66,0.904,0.3442
