id,dept,asset_type,section_id,km_from,km_to,age_years,days_since_maintenance,maintenance_interval_days,criticality,annual_gmt,failures_3y
TRA00001,ENG,track_segment,MAIN01,0.67,1.17,22.7,60,180,3,58.2,1
TRA00002,ENG,track_segment,MAIN01,2.79,3.29,30.8,250,180,2,58.2,3
TRA00003,ENG,track_segment,MAIN01,12.07,12.57,22.8,20,180,4,58.2,2
TRA00004,ENG,track_segment,MAIN01,5.4,5.9,9.8,261,180,3,58.2,0
TRA00005,ENG,track_segment,MAIN01,15.33,15.83,10.4,175,180,4,58.2,0
TRA00006,ENG,track_segment,MAIN01,0.64,1.14,0.8,362,180,4,58.2,0
TRA00007,ENG,track_segment,MAIN01,4.67,5.17,13.0,179,180,4,58.2,1
TRA00008,ENG,track_segment,MAIN01,15.6,16.1,24.7,353,180,3,58.2,0
TRA00009,ENG,track_segment,MAIN01,1.27,1.77,20.8,305,180,2,58.2,0
TRA00010,ENG,track_segment,MAIN01,15.43,15.93,14.7,285,180,4,58.2,0
TRA00011,ENG,track_segment,MAIN01,10.25,10.75,17.6,295,180,2,58.2,0
TRA00012,ENG,track_segment,MAIN01,3.31,3.81,4.1,196,180,3,58.2,2
TRA00013,ENG,track_segment,MAIN01,15.02,15.52,23.9,384,180,3,58.2,0
TRA00014,ENG,track_segment,MAIN01,8.43,8.93,2.2,39,180,4,58.2,0
TRA00015,ENG,track_segment,MAIN01,8.2,8.7,11.6,111,180,3,58.2,1
TRA00016,ENG,track_segment,MAIN01,2.38,2.88,28.1,243,180,4,58.2,1
TRA00017,ENG,track_segment,MAIN01,0.07,0.57,23.6,200,180,4,58.2,1
TRA00018,ENG,track_segment,MAIN01,1.42,1.92,13.4,220,180,2,58.2,1
TRA00019,ENG,track_segment,MAIN01,15.0,15.5,31.6,296,180,3,58.2,0
TRA00020,ENG,track_segment,MAIN01,0.57,1.07,2.4,70,180,4,58.2,0
TRA00021,ENG,track_segment,MAIN01,4.49,4.99,1.7,34,180,4,58.2,0
TRA00022,ENG,track_segment,MAIN01,1.14,1.64,19.2,165,180,3,58.2,0
TRA00023,ENG,track_segment,MAIN01,4.57,5.07,7.8,7,180,3,58.2,3
TRA00024,ENG,track_segment,MAIN01,14.59,15.09,3.2,282,180,3,58.2,0
TRA00025,ENG,track_segment,MAIN01,2.23,2.73,3.5,37,180,4,58.2,0
TRA00026,ENG,track_segment,MAIN01,11.2,11.7,6.7,296,180,4,58.2,0
TRA00027,ENG,track_segment,MAIN01,0.37,0.87,6.1,15,180,3,58.2,3
TRA00028,ENG,track_segment,MAIN01,6.14,6.64,13.0,197,180,3,58.2,1
TRA00029,ENG,track_segment,MAIN01,2.59,3.09,20.0,164,180,3,58.2,0
TRA00030,ENG,track_segment,MAIN01,0.65,1.15,12.4,356,180,3,58.2,0
TRA00031,ENG,track_segment,MAIN01,8.32,8.82,16.4,192,180,3,58.2,0
TRA00032,ENG,track_segment,MAIN01,5.95,6.45,4.3,24,180,2,58.2,0
LEV00033,ENG,level_crossing,MAIN01,9.26,9.26,0.9,70,120,4,58.2,0
BRI00034,ENG,bridge,MAIN01,11.95,11.95,9.9,617,365,4,58.2,1
SIG00035,SNT,signal,MAIN01,4.09,4.09,11.5,299,150,4,58.2,3
SIG00036,SNT,signal,MAIN01,14.86,14.86,23.1,251,150,4,58.2,0
SIG00037,SNT,signal,MAIN01,14.39,14.39,30.9,290,150,4,58.2,1
SIG00038,SNT,signal,MAIN01,13.28,13.28,22.0,13,150,5,58.2,0
SIG00039,SNT,signal,MAIN01,3.35,3.35,0.7,133,150,4,58.2,0
SIG00040,SNT,signal,MAIN01,4.01,4.01,2.7,82,150,4,58.2,1
POI00041,SNT,point_machine,MAIN01,2.65,2.65,23.4,157,120,5,58.2,1
POI00042,SNT,point_machine,MAIN01,3.98,3.98,24.8,103,120,4,58.2,0
TRA00043,SNT,track_circuit,MAIN01,2.44,2.44,20.4,103,180,3,58.2,0
TRA00044,SNT,track_circuit,MAIN01,7.84,7.84,3.4,234,180,5,58.2,0
TRA00045,SNT,track_circuit,MAIN01,11.17,11.17,14.6,76,180,4,58.2,1
TRA00046,SNT,track_circuit,MAIN01,12.16,12.16,3.8,69,180,4,58.2,0
TRA00047,SNT,track_circuit,MAIN01,3.61,3.61,21.2,95,180,5,58.2,0
TRA00048,SNT,track_circuit,MAIN01,0.88,0.88,3.0,227,180,5,58.2,0
TRA00049,SNT,track_circuit,MAIN01,12.56,12.56,23.6,23,180,4,58.2,2
TRA00050,SNT,track_circuit,MAIN01,14.44,14.44,18.9,323,180,4,58.2,1
OHE00051,TRD,ohe_section,MAIN01,5.24,5.24,15.9,261,200,4,58.2,0
OHE00052,TRD,ohe_section,MAIN01,14.77,14.77,23.8,302,200,4,58.2,1
OHE00053,TRD,ohe_section,MAIN01,2.8,2.8,4.8,63,200,5,58.2,3
OHE00054,TRD,ohe_section,MAIN01,0.93,0.93,3.9,90,200,5,58.2,0
OHE00055,TRD,ohe_section,MAIN01,6.33,6.33,13.4,249,200,4,58.2,0
OHE00056,TRD,ohe_section,MAIN01,3.03,3.03,16.9,65,200,4,58.2,0
OHE00057,TRD,ohe_mast,MAIN01,15.31,15.31,3.1,393,365,2,58.2,0
OHE00058,TRD,ohe_mast,MAIN01,5.45,5.45,18.0,212,365,1,58.2,0
OHE00059,TRD,ohe_mast,MAIN01,1.63,1.63,10.4,774,365,3,58.2,0
OHE00060,TRD,ohe_mast,MAIN01,6.99,6.99,11.2,223,365,3,58.2,1
OHE00061,TRD,ohe_mast,MAIN01,2.84,2.84,11.8,57,365,3,58.2,0
OHE00062,TRD,ohe_mast,MAIN01,10.53,10.53,28.8,275,365,1,58.2,0
OHE00063,TRD,ohe_mast,MAIN01,14.66,14.66,21.0,234,365,2,58.2,0
OHE00064,TRD,ohe_mast,MAIN01,6.01,6.01,7.7,190,365,2,58.2,1
OHE00065,TRD,ohe_mast,MAIN01,15.65,15.65,22.9,763,365,2,58.2,0
OHE00066,TRD,ohe_mast,MAIN01,6.29,6.29,0.7,659,365,2,58.2,3
OHE00067,TRD,ohe_mast,MAIN01,2.51,2.51,31.5,469,365,2,58.2,1
OHE00068,TRD,ohe_mast,MAIN01,12.54,12.54,2.2,601,365,1,58.2,0
OHE00069,TRD,ohe_mast,MAIN01,1.11,1.11,17.0,241,365,1,58.2,0
OHE00070,TRD,ohe_mast,MAIN01,13.68,13.68,31.4,737,365,2,58.2,1
OHE00071,TRD,ohe_mast,MAIN01,13.03,13.03,5.8,100,365,2,58.2,0
OHE00072,TRD,ohe_mast,MAIN01,8.48,8.48,24.0,69,365,3,58.2,1
OHE00073,TRD,ohe_mast,MAIN01,13.69,13.69,20.8,503,365,1,58.2,2
OHE00074,TRD,ohe_mast,MAIN01,14.9,14.9,5.2,32,365,1,58.2,1
OHE00075,TRD,ohe_mast,MAIN01,11.87,11.87,24.8,784,365,3,58.2,0
OHE00076,TRD,ohe_mast,MAIN01,14.23,14.23,30.1,759,365,3,58.2,2
OHE00077,TRD,ohe_mast,MAIN01,7.04,7.04,1.9,509,365,1,58.2,3
OHE00078,TRD,ohe_mast,MAIN01,2.05,2.05,31.6,802,365,2,58.2,0
OHE00079,TRD,ohe_mast,MAIN01,11.88,11.88,16.0,247,365,3,58.2,0
OHE00080,TRD,ohe_mast,MAIN01,0.58,0.58,18.1,108,365,3,58.2,0
TRA00081,ENG,track_segment,MAIN02,24.17,24.67,11.8,115,180,2,35.3,1
TRA00082,ENG,track_segment,MAIN02,18.66,19.16,17.4,233,180,3,35.3,0
TRA00083,ENG,track_segment,MAIN02,16.06,16.56,24.7,388,180,2,35.3,2
TRA00084,ENG,track_segment,MAIN02,20.37,20.87,31.7,310,180,2,35.3,0
TRA00085,ENG,track_segment,MAIN02,25.16,25.66,25.2,90,180,3,35.3,2
TRA00086,ENG,track_segment,MAIN02,29.02,29.52,13.9,165,180,4,35.3,0
TRA00087,ENG,track_segment,MAIN02,30.7,31.2,26.5,28,180,3,35.3,0
TRA00088,ENG,track_segment,MAIN02,20.26,20.76,30.4,166,180,2,35.3,0
TRA00089,ENG,track_segment,MAIN02,16.37,16.87,5.5,294,180,2,35.3,0
TRA00090,ENG,track_segment,MAIN02,31.05,31.55,17.5,289,180,3,35.3,0
TRA00091,ENG,track_segment,MAIN02,30.54,31.04,10.1,96,180,3,35.3,0
TRA00092,ENG,track_segment,MAIN02,22.36,22.86,1.8,35,180,2,35.3,0
TRA00093,ENG,track_segment,MAIN02,30.06,30.56,22.0,61,180,3,35.3,3
TRA00094,ENG,track_segment,MAIN02,23.59,24.09,31.2,16,180,3,35.3,1
TRA00095,ENG,track_segment,MAIN02,21.63,22.13,27.6,177,180,3,35.3,0
TRA00096,ENG,track_segment,MAIN02,18.67,19.17,16.1,243,180,3,35.3,2
TRA00097,ENG,track_segment,MAIN02,29.51,30.01,1.5,181,180,3,35.3,2
TRA00098,ENG,track_segment,MAIN02,16.63,17.13,3.7,212,180,4,35.3,0
TRA00099,ENG,track_segment,MAIN02,23.43,23.93,26.8,328,180,3,35.3,5
TRA00100,ENG,track_segment,MAIN02,17.74,18.24,17.3,251,180,3,35.3,1
TRA00101,ENG,track_segment,MAIN02,24.44,24.94,17.5,202,180,3,35.3,1
TRA00102,ENG,track_segment,MAIN02,17.6,18.1,7.8,155,180,3,35.3,0
TRA00103,ENG,track_segment,MAIN02,26.84,27.34,2.0,378,180,2,35.3,2
TRA00104,ENG,track_segment,MAIN02,21.31,21.81,4.5,33,180,2,35.3,0
TRA00105,ENG,track_segment,MAIN02,25.16,25.66,9.3,331,180,3,35.3,0
TRA00106,ENG,track_segment,MAIN02,30.91,31.41,10.3,6,180,3,35.3,1
TRA00107,ENG,track_segment,MAIN02,26.89,27.39,9.3,253,180,2,35.3,2
TRA00108,ENG,track_segment,MAIN02,23.91,24.41,5.4,18,180,2,35.3,1
TRA00109,ENG,track_segment,MAIN02,16.54,17.04,6.2,117,180,3,35.3,0
TRA00110,ENG,track_segment,MAIN02,24.67,25.17,17.3,307,180,3,35.3,0
TRA00111,ENG,track_segment,MAIN02,24.55,25.05,31.5,51,180,3,35.3,0
TRA00112,ENG,track_segment,MAIN02,19.86,20.36,31.5,15,180,3,35.3,1
