section_id,start_min,end_min,source
MAIN01,600,780,corridor
MAIN01,2040,2220,corridor
MAIN01,3480,3660,corridor
MAIN01,4920,5100,corridor
MAIN01,6360,6540,corridor
MAIN01,7800,7980,corridor
MAIN01,9240,9420,corridor
MAIN02,600,780,corridor
MAIN02,2040,2220,corridor
MAIN02,3480,3660,corridor
MAIN02,4920,5100,corridor
MAIN02,6360,6540,corridor
MAIN02,7800,7980,corridor
MAIN02,9240,9420,corridor
MAIN03,600,780,corridor
MAIN03,2040,2220,corridor
MAIN03,3480,3660,corridor
MAIN03,4920,5100,corridor
MAIN03,6360,6540,corridor
MAIN03,7800,7980,corridor
MAIN03,9240,9420,corridor
MAIN04,600,780,corridor
MAIN04,2040,2220,corridor
MAIN04,3480,3660,corridor
MAIN04,4920,5100,corridor
MAIN04,6360,6540,corridor
MAIN04,7800,7980,corridor
MAIN04,9240,9420,corridor
MAIN05,600,780,corridor
MAIN05,2040,2220,corridor
MAIN05,3480,3660,corridor
MAIN05,4920,5100,corridor
MAIN05,6360,6540,corridor
MAIN05,7800,7980,corridor
MAIN05,9240,9420,corridor
MAIN06,600,780,corridor
MAIN06,2040,2220,corridor
MAIN06,3480,3660,corridor
MAIN06,4920,5100,corridor
MAIN06,6360,6540,corridor
MAIN06,7800,7980,corridor
MAIN06,9240,9420,corridor
MAIN07,600,780,corridor
MAIN07,2040,2220,corridor
MAIN07,3480,3660,corridor
MAIN07,4920,5100,corridor
MAIN07,6360,6540,corridor
MAIN07,7800,7980,corridor
MAIN07,9240,9420,corridor
MAIN08,600,780,corridor
MAIN08,2040,2220,corridor
MAIN08,3480,3660,corridor
MAIN08,4920,5100,corridor
MAIN08,6360,6540,corridor
MAIN08,7800,7980,corridor
MAIN08,9240,9420,corridor
MAIN09,600,780,corridor
MAIN09,2040,2220,corridor
MAIN09,3480,3660,corridor
MAIN09,4920,5100,corridor
MAIN09,6360,6540,corridor
MAIN09,7800,7980,corridor
MAIN09,9240,9420,corridor
MAIN10,600,780,corridor
MAIN10,2040,2220,corridor
MAIN10,3480,3660,corridor
MAIN10,4920,5100,corridor
MAIN10,6360,6540,corridor
MAIN10,7800,7980,corridor
MAIN10,9240,9420,corridor
MAIN11,600,780,corridor
MAIN11,2040,2220,corridor
MAIN11,3480,3660,corridor
MAIN11,4920,5100,corridor
MAIN11,6360,6540,corridor
MAIN11,7800,7980,corridor
MAIN11,9240,9420,corridor
BRCH01,780,960,corridor
BRCH01,2220,2400,corridor
BRCH01,3660,3840,corridor
BRCH01,5100,5280,corridor
BRCH01,6540,6720,corridor
BRCH01,7980,8160,corridor
BRCH01,9420,9600,corridor
BRCH02,780,960,corridor
BRCH02,2220,2400,corridor
BRCH02,3660,3840,corridor
BRCH02,5100,5280,corridor
BRCH02,6540,6720,corridor
BRCH02,7980,8160,corridor
BRCH02,9420,9600,corridor
BRCH03,780,960,corridor
BRCH03,2220,2400,corridor
BRCH03,3660,3840,corridor
BRCH03,5100,5280,corridor
BRCH03,6540,6720,corridor
BRCH03,7980,8160,corridor
BRCH03,9420,9600,corridor
BRCH04,780,960,corridor
BRCH04,2220,2400,corridor
BRCH04,3660,3840,corridor
BRCH04,5100,5280,corridor
BRCH04,6540,6720,corridor
BRCH04,7980,8160,corridor
BRCH04,9420,9600,corridor
DIV01,600,780,corridor
DIV01,2040,2220,corridor
DIV01,3480,3660,corridor
DIV01,4920,5100,corridor
DIV01,6360,6540,corridor
DIV01,7800,7980,corridor
DIV01,9240,9420,corridor
