block_id,task_id,activity_type,dept,asset_type,section_id,line_type,km,asset_age_years,days_since_maintenance,severity,crew_type,crew_experience_band,tasks_in_block,block_permits,start_hour,is_night,month,is_monsoon,access_difficulty,nominal_duration_min,actual_duration_min,overran,overrun_min,overrun_reason
H000001,TRD-003,TRD_MAST_REPAIR,TRD,ohe_mast,MAIN11,double,154.16,23.5,31,routine,ohe_team,C,3,power_block,3,1,10,0,easy,90,75,0,0,
H000002,SNT-008,SNT_POINT_OVERHAUL,SNT,point_machine,MAIN04,double,49.4,26.7,5,routine,signal_team,B,3,disconnection|traffic_block,15,0,7,1,moderate,90,115,1,25,late_start
H000003,TRD-067,TRD_MAST_REPAIR,TRD,ohe_mast,MAIN11,double,173.98,24.3,710,critical,ohe_team,A,1,power_block,11,0,10,0,easy,75,45,0,0,
H000004,SNT-002,SNT_SIGNAL_TESTING,SNT,signal,MAIN02,double,30.09,20.7,89,important,signal_team,B,5,disconnection,9,0,7,1,hard,30,35,1,5,late_start
H000005,TRD-055,TRD_MAST_REPAIR,TRD,ohe_mast,MAIN03,double,44.73,29.3,28,routine,ohe_team,B,1,power_block,7,0,2,0,easy,90,75,0,0,
H000006,TRD-071,TRD_CONTACT_WIRE,TRD,ohe_section,MAIN03,double,45.07,0.6,420,important,ohe_tower_car,B,5,power_block|traffic_block,9,0,10,0,easy,195,125,0,0,
H000007,TRD-062,TRD_CONTACT_WIRE,TRD,ohe_section,MAIN06,double,78.32,5.2,425,routine,ohe_tower_car,B,5,power_block|traffic_block,22,0,12,0,easy,150,115,0,0,
H000008,TRD-027,TRD_MAST_REPAIR,TRD,ohe_mast,DIV01,single,118.76,2.7,783,critical,ohe_team,B,2,power_block,13,0,9,1,easy,90,150,1,60,weather
H000009,ENG-066,ENG_WELD_REPAIR,ENG,track_segment,BRCH04,single,44.44,16.9,370,critical,track_gang,A,1,traffic_block,15,0,6,1,moderate,75,60,0,0,
H000010,ENG-068,ENG_TAMPING,ENG,track_segment,MAIN08,double,106.63,20.2,186,routine,track_machine,A,2,power_block|traffic_block,16,0,6,1,moderate,120,105,0,0,
H000011,ENG-008,ENG_TAMPING,ENG,track_segment,MAIN10,double,145.33,13.4,243,critical,track_machine,B,4,power_block|traffic_block,16,0,11,0,hard,135,180,1,45,traffic_clearance
H000012,ENG-036,ENG_TAMPING,ENG,track_segment,MAIN06,double,78.97,8.1,320,critical,track_machine,B,1,power_block|traffic_block,15,0,6,1,moderate,120,115,0,0,
H000013,TRD-072,TRD_MAST_REPAIR,TRD,ohe_mast,DIV01,single,104.6,15.4,73,routine,ohe_team,A,3,power_block,15,0,10,0,easy,75,45,0,0,
H000014,TRD-037,TRD_MAST_REPAIR,TRD,ohe_mast,MAIN11,double,161.43,24.0,534,critical,ohe_team,C,1,power_block,8,0,3,0,easy,75,75,0,0,
H000015,ENG-058,ENG_RAIL_RENEWAL,ENG,track_segment,MAIN01,double,0.64,0.8,362,important,track_gang,B,3,power_block|traffic_block,17,0,11,0,easy,165,115,0,0,
