id,dept,activity_type,asset_id,section_id,km_from,km_to,severity,raised_min,due_min,nominal_duration_min,crew_type,predicted_duration_min,overrun_probability,risk_score,priority_score,crew_id
ENG-001,ENG,ENG_TAMPING,TRA00528,MAIN08,112.23,112.73,important,0,8640,120,track_machine,120,0.0,0.505,11.049,
ENG-002,ENG,ENG_TAMPING,TRA01120,BRCH04,52.63,53.13,important,0,2880,105,track_machine,105,0.0,0.403,13.855,
ENG-003,ENG,ENG_WELD_REPAIR,TRA00982,BRCH02,26.3,26.8,critical,0,2880,90,track_gang,90,0.0,0.848,16.935,
ENG-004,ENG,ENG_WELD_REPAIR,TRA00979,BRCH02,24.98,25.48,critical,0,4320,75,track_gang,75,0.0,0.707,15.642,
ENG-005,ENG,ENG_BALLAST_SCREENING,TRA00800,MAIN11,169.9,170.4,critical,0,2880,210,track_machine,210,0.0,0.825,16.843,
ENG-006,ENG,ENG_WELD_REPAIR,TRA00807,MAIN11,179.31,179.81,routine,0,7200,90,track_gang,90,0.0,0.186,6.501,
ENG-007,ENG,ENG_TAMPING,TRA00382,MAIN06,86.45,86.95,critical,0,2880,105,track_machine,105,0.0,0.99,18.703,
ENG-008,ENG,ENG_TAMPING,TRA00690,MAIN10,145.33,145.83,critical,0,4320,135,track_machine,135,0.0,0.46,14.654,
ENG-009,ENG,ENG_BALLAST_SCREENING,TRA00541,MAIN08,104.0,104.5,important,0,4320,225,track_machine,225,0.0,0.917,15.182,
ENG-010,ENG,ENG_RAIL_RENEWAL,TRA00683,MAIN10,146.84,147.34,critical,0,1440,180,track_gang,180,0.0,0.84,18.531,
ENG-011,ENG,ENG_TAMPING,TRA00771,MAIN11,159.07,159.57,routine,0,8640,120,track_machine,120,0.0,0.142,8.297,
ENG-012,ENG,ENG_WELD_REPAIR,TRA00255,MAIN04,59.74,60.24,important,0,7200,90,track_gang,90,0.0,0.344,10.833,
ENG-013,ENG,ENG_WELD_REPAIR,TRA00969,BRCH02,18.41,18.91,important,0,5760,75,track_gang,75,0.0,0.371,10.17,
ENG-014,ENG,ENG_TAMPING,TRA00395,MAIN06,87.89,88.39,critical,0,2880,105,track_machine,105,0.0,0.758,18.975,
ENG-015,ENG,ENG_BALLAST_SCREENING,TRA00900,BRCH01,1.03,1.53,routine,0,8640,210,track_machine,210,0.0,0.429,9.445,
ENG-016,ENG,ENG_TAMPING,TRA01217,DIV01,115.53,116.03,important,0,8640,120,track_machine,120,0.0,0.641,11.593,
ENG-017,ENG,ENG_BRIDGE_INSPECTION,BRI00631,MAIN09,125.36,125.36,critical,0,2880,150,bridge_gang,150,0.0,0.425,17.643,
ENG-018,ENG,ENG_BALLAST_SCREENING,TRA01221,DIV01,113.72,114.22,critical,0,4320,240,track_machine,240,0.0,0.99,17.974,
ENG-019,ENG,ENG_BALLAST_SCREENING,TRA00252,MAIN04,59.74,60.24,important,0,8640,225,track_machine,225,0.0,0.99,11.789,
ENG-020,ENG,ENG_WELD_REPAIR,TRA00105,MAIN02,25.16,25.66,important,0,8640,75,track_gang,75,0.0,0.677,11.737,
ENG-021,ENG,ENG_BALLAST_SCREENING,TRA00978,BRCH02,18.85,19.35,critical,0,2880,195,track_machine,195,0.0,0.99,18.703,
ENG-022,ENG,ENG_RAIL_RENEWAL,TRA00626,MAIN09,123.09,123.59,important,0,5760,150,track_gang,150,0.0,0.597,11.074,
ENG-023,ENG,ENG_BALLAST_SCREENING,TRA00616,MAIN09,121.66,122.16,routine,0,10080,195,track_machine,195,0.0,0.705,10.12,
ENG-024,ENG,ENG_BALLAST_SCREENING,TRA00461,MAIN07,91.27,91.77,critical,0,2880,240,track_machine,240,0.0,0.912,19.591,
ENG-025,ENG,ENG_RAIL_RENEWAL,TRA00915,BRCH01,12.29,12.79,critical,0,2880,195,track_gang,195,0.0,0.584,17.079,
ENG-026,ENG,ENG_TAMPING,TRA00767,MAIN11,177.25,177.75,critical,0,2880,135,track_machine,135,0.0,0.664,17.399,
ENG-027,ENG,ENG_BALLAST_SCREENING,TRA00778,MAIN11,166.16,166.66,important,0,2880,240,track_machine,240,0.0,0.491,14.207,
ENG-028,ENG,ENG_TAMPING,TRA00179,MAIN03,38.46,38.96,important,0,4320,90,track_machine,90,0.0,0.358,11.746,
ENG-029,ENG,ENG_TAMPING,TRA01214,DIV01,107.85,108.35,important,0,5760,105,track_machine,105,0.0,0.743,11.658,
ENG-030,ENG,ENG_WELD_REPAIR,TRA00520,MAIN08,118.4,118.9,critical,0,4320,90,track_gang,90,0.0,0.879,15.13,
