number,train_class,direction
12001,VB,UP
12002,VB,DN
12003,RAJ,UP
12004,RAJ,UP
12005,RAJ,DN
12006,RAJ,DN
12007,MEX,UP
12008,MEX,UP
12009,MEX,UP
12010,MEX,UP
12011,MEX,UP
12012,MEX,UP
12013,MEX,DN
12014,MEX,DN
12015,MEX,UP
12016,MEX,DN
12017,MEX,UP
12018,MEX,DN
12019,MEX,UP
12020,MEX,UP
12021,MEX,UP
12022,MEX,DN
12023,MEX,UP
12024,MEX,DN
12025,MEX,DN
12026,MEX,UP
12027,MEX,UP
12028,MEX,UP
12029,MEX,DN
12030,MEX,DN
12031,PASS,DN
12032,PASS,UP
12033,PASS,UP
12034,PASS,DN
12035,PASS,DN
12036,PASS,UP
12037,PASS,UP
12038,PASS,DN
12039,PASS,DN
12040,PASS,DN
12041,PASS,UP
12042,PASS,DN
12043,MEMU,UP
12044,MEMU,DN
12045,MEMU,UP
12046,MEMU,UP
12047,MEMU,DN
12048,MEMU,DN
12049,MEMU,DN
12050,MEMU,DN
12051,FRT,UP
12052,FRT,DN
12053,FRT,DN
12054,FRT,UP
12055,FRT,DN
12056,FRT,UP
12057,FRT,DN
12058,FRT,DN
12059,FRT,DN
12060,FRT,UP
12061,FRT,DN
12062,FRT,DN
12063,FRT,DN
12064,FRT,UP
12065,FRT,DN
12066,FRT,UP
12067,FRT,UP
12068,FRT,UP
12069,FRT,UP
12070,FRT,DN
12071,FRT,DN
12072,FRT,UP
12073,FRT,DN
12074,FRT,UP
12075,FRT,UP
12076,FRT,UP
12077,FRT,DN
12078,FRT,DN
12079,FRT,DN
12080,FRT,UP
12081,FRT,UP
12082,FRT,UP
12083,FRT,UP
12084,FRT,UP
12085,FRT,DN
12086,FRT,UP
12087,FRT,UP
12088,FRT,UP
12089,FRT,DN
12090,FRT,UP
12091,FRT,UP
12092,FRT,DN
12093,FRT,DN
12094,FRT,DN
12095,FRT,UP
12096,FRT,DN
12097,VB,UP
12098,VB,UP
12099,RAJ,DN
12100,RAJ,UP
12101,RAJ,UP
12102,RAJ,UP
12103,MEX,DN
12104,MEX,DN
12105,MEX,DN
12106,MEX,DN
12107,MEX,UP
12108,MEX,DN
12109,MEX,UP
12110,MEX,UP
12111,MEX,DN
12112,MEX,UP
12113,MEX,UP
12114,MEX,UP
12115,MEX,UP
12116,MEX,UP
12117,MEX,DN
12118,MEX,DN
12119,MEX,DN
12120,MEX,UP
12121,MEX,DN
12122,MEX,DN
12123,MEX,UP
12124,MEX,DN
12125,MEX,DN
12126,MEX,UP
