study,setting,seed,n_blocks,n_coordinated,total_block_minutes,train_cost,completion_pct,critical_completion_pct,objective,gap_pct,solve_seconds,invalid,status
coordination,coordination allowed,1,60,28,10500,3738.0,80.6,72.7,108059.4,66.5,10.063,0,FEASIBLE
coordination,coordination forbidden,1,104,0,15960,5138.0,88.9,87.9,120431.8,56.5,10.063,0,FEASIBLE
pareto,setup=0,1,91,29,14760,4914.0,87.8,84.8,71968.4,76.1,10.07,0,FEASIBLE
pareto,setup=100,1,88,25,13980,3942.0,85.6,81.8,83220.9,74.4,10.071,0,FEASIBLE
pareto,setup=250,1,95,25,15540,7345.0,88.3,83.3,97668.5,72.2,10.064,0,FEASIBLE
pareto,setup=500,1,64,33,10140,4517.0,85.6,80.3,97069.5,62.7,10.056,0,FEASIBLE
pareto,setup=1000,1,74,27,11880,3234.0,87.8,81.8,139454.6,59.7,10.063,0,FEASIBLE
pareto,setup=2000,1,60,28,9660,1290.0,80.0,71.2,200025.3,59.3,10.073,0,FEASIBLE
anytime,limit=1s,1,64,24,9960,1314.0,78.9,66.7,118356.1,100.0,1.034,0,UNKNOWN (fell back to greedy_coordinated)
anytime,limit=3s,1,63,25,9720,1254.0,78.9,68.2,115370.1,69.8,3.067,0,FEASIBLE
anytime,limit=10s,1,74,31,11700,4642.0,86.1,81.8,104068.6,65.2,10.07,0,FEASIBLE
anytime,limit=30s,1,61,35,10140,3942.0,91.1,90.9,76258.8,46.5,30.078,0,FEASIBLE
screening,keep=1,1,67,29,10440,1400.0,83.3,80.3,99372.4,48.5,10.041,0,FEASIBLE
screening,keep=2,1,67,34,10740,5141.0,90.6,87.9,87345.1,58.5,10.079,0,FEASIBLE
screening,keep=4,1,87,28,13320,8732.0,91.7,86.4,106533.8,68.2,10.1,0,FEASIBLE
screening,keep=8,1,95,23,14460,14888.0,96.7,95.5,104798.3,100.0,10.177,0,UNKNOWN (fell back to greedy_coordinated)
durations,nominal,1,67,34,10740,5141.0,90.6,87.9,87345.1,58.5,10.062,0,FEASIBLE
durations,model P80,1,76,35,12420,5439.0,87.8,86.4,101807.3,54.8,10.064,0,FEASIBLE
coordination,coordination allowed,2,67,29,10140,1416.0,86.7,78.7,95314.0,63.7,10.076,0,FEASIBLE
coordination,coordination forbidden,2,104,0,15840,4628.0,83.9,70.5,137389.0,63.8,10.067,0,FEASIBLE
pareto,setup=0,2,93,34,15660,7102.0,93.3,93.4,56715.9,71.0,10.069,0,FEASIBLE
pareto,setup=100,2,101,28,17340,7798.0,95.6,95.1,65016.6,69.0,10.06,0,FEASIBLE
pareto,setup=250,2,78,29,12300,3156.0,88.3,85.2,79645.8,67.7,10.082,0,FEASIBLE
pareto,setup=500,2,73,30,11220,2952.0,92.8,93.4,80000.5,59.9,10.052,0,FEASIBLE
pareto,setup=1000,2,71,30,11280,3336.0,93.9,95.1,110198.9,56.1,10.047,0,FEASIBLE
pareto,setup=2000,2,70,33,11520,3276.0,94.4,90.2,183694.5,58.2,10.066,0,FEASIBLE
anytime,limit=1s,2,66,25,10200,1320.0,85.0,72.1,101904.2,100.0,1.055,0,UNKNOWN (fell back to greedy_coordinated)
anytime,limit=3s,2,64,26,9720,1320.0,83.9,72.1,101063.7,68.7,3.06,0,FEASIBLE
anytime,limit=10s,2,66,28,10200,1320.0,86.1,75.4,98373.1,64.6,10.07,0,FEASIBLE
anytime,limit=30s,2,64,40,10140,3286.0,94.4,96.7,67890.7,52.7,30.501,0,FEASIBLE
screening,keep=1,2,69,34,10680,1194.0,88.3,83.6,89614.0,57.2,10.048,0,FEASIBLE
screening,keep=2,2,66,28,10200,1320.0,86.1,75.4,98373.1,64.8,10.06,0,FEASIBLE
screening,keep=4,2,85,27,13020,7026.0,97.2,95.1,87351.8,64.4,10.103,0,FEASIBLE
screening,keep=8,2,89,27,13860,9974.0,99.4,98.4,87694.0,100.0,10.207,0,UNKNOWN (fell back to greedy_coordinated)
durations,nominal,2,68,29,10200,1740.0,87.2,83.6,90325.6,61.7,10.051,0,FEASIBLE
durations,model P80,2,76,33,12540,3648.0,93.3,90.2,85454.5,60.7,10.058,0,FEASIBLE
coordination,coordination allowed,3,77,32,12540,2956.0,90.0,87.1,93485.2,66.0,10.056,0,FEASIBLE
coordination,coordination forbidden,3,92,0,14400,4351.0,90.0,87.1,106100.0,56.9,10.076,0,FEASIBLE
pareto,setup=0,3,99,39,17280,5617.0,94.4,95.2,54803.4,75.1,10.068,0,FEASIBLE
pareto,setup=100,3,93,40,16320,5401.0,89.4,88.7,74450.7,75.3,10.07,0,FEASIBLE
pareto,setup=250,3,100,41,17640,5833.0,95.0,95.2,80272.0,72.5,10.081,0,FEASIBLE
pareto,setup=500,3,69,35,12360,4393.0,92.8,95.2,78573.0,61.9,10.068,0,FEASIBLE
pareto,setup=1000,3,53,31,9120,2980.0,78.3,82.3,121902.9,63.5,10.061,0,FEASIBLE
pareto,setup=2000,3,42,30,7320,1840.0,72.8,77.4,158378.9,55.4,10.069,0,FEASIBLE
anytime,limit=1s,3,63,21,10320,1336.0,81.1,62.9,113566.0,100.0,1.055,0,UNKNOWN (fell back to greedy_coordinated)
anytime,limit=3s,3,63,21,10320,1336.0,81.1,62.9,113566.0,73.6,3.055,0,FEASIBLE
anytime,limit=10s,3,71,31,11280,2140.0,85.0,82.3,97400.3,67.3,10.071,0,FEASIBLE
anytime,limit=30s,3,67,39,11700,3949.0,95.6,100.0,67377.8,55.6,30.092,0,FEASIBLE
screening,keep=1,3,70,36,11340,252.0,83.9,82.3,97366.9,62.0,10.048,0,FEASIBLE
screening,keep=2,3,75,33,12060,2956.0,88.9,87.1,92777.5,65.7,10.067,0,FEASIBLE
screening,keep=4,3,85,22,13620,8934.0,97.2,93.5,90658.5,70.1,10.122,0,FEASIBLE
screening,keep=8,3,89,21,14280,11484.0,98.9,96.8,91068.8,100.0,10.166,0,UNKNOWN (fell back to greedy_coordinated)
durations,nominal,3,60,34,10560,3325.0,82.8,80.6,94588.7,68.4,10.078,0,FEASIBLE
durations,model P80,3,85,31,14520,5782.0,91.7,91.9,98100.6,67.4,10.087,0,FEASIBLE
